; matrix-scan  -v 1 -matrix_format jaspar -m JASPAR2024_CORE_non-redundant_pfms_jaspar.txt -bginput -markov 1 -pseudo 1 -decimals 1 -2str -origin end -return distrib -return occ_proba -sort_distrib -uth occ_pval 1e-4 -lth occ_sig 0 -uth occ_sig_rank 1 -lth score 5 -i promotores_seq_chr20.fa -seq_format fasta -n skip -o mat_final_promotores2.tab
; Slow counting mode            
; Input files
;	input	promotores_seq_chr20.fa
; Matrix files
;	matrix 1	JASPAR2024_CORE_non-redundant_pfms_jaspar.txt
; Sequence format      	fasta
; Output files
;	output	mat_final_promotores2.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.24313
;		c	0.25321
;		g	0.25756
;		t	0.24610
; Thresholds	lower	upper
;	occ_pval	NA	0.0001
;	occ_sig	0    	NA
;	occ_sig_rank	NA	1    
;	score 	5    	NA
;
; Matrices
;	matrix	name                      	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	71	PKNOX2                    	12	4	1	-75.800	16.000	91.800	a:0.243 c:0.253 g:0.258 t:0.246 
;	72	POU3F2                    	12	4	1	-40.900	13.300	54.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	73	POU3F3                    	13	4	1	-35.000	13.900	48.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	74	POU3F4                    	9	4	1	-35.700	11.400	47.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	75	POU5F1B                   	9	4	1	-26.900	10.600	37.500	a:0.243 c:0.253 g:0.258 t:0.246 
;	76	PROX1                     	12	4	1	-59.000	14.300	73.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	77	SMAD3                     	10	4	1	-50.600	12.500	63.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	78	TGIF1                     	12	4	1	-80.000	16.300	96.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	79	TGIF2                     	12	4	1	-44.600	15.400	60.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	80	RUNX2                     	9	4	1	-45.700	10.500	56.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	81	MGA                       	8	4	1	-35.500	9.900	45.400	a:0.243 c:0.253 g:0.258 t:0.246 
;	82	TBX15                     	8	4	1	-40.200	10.700	50.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	83	TBX1                      	8	4	1	-44.600	10.500	55.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	84	TBX4                      	8	4	1	-36.000	9.500	45.500	a:0.243 c:0.253 g:0.258 t:0.246 
;	85	TBX5                      	8	4	1	-26.300	9.000	35.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	86	TEAD3                     	8	4	1	-62.300	9.500	71.800	a:0.243 c:0.253 g:0.258 t:0.246 
;	87	TFAP2B                    	13	4	1	-56.400	13.200	69.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	88	TFAP2C                    	13	4	1	-61.700	13.300	75.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	89	Ascl2                     	10	4	1	-39.100	11.500	50.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	90	HES7                      	12	4	1	-69.300	14.900	84.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	91	HEY1                      	10	4	1	-43.200	11.000	54.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	92	OLIG1                     	10	4	1	-67.200	12.000	79.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	93	OLIG3                     	10	4	1	-48.000	11.000	59.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	94	CEBPG                     	10	4	1	-57.300	12.100	69.400	a:0.243 c:0.253 g:0.258 t:0.246 
;	95	FOXB1                     	11	4	1	-42.800	12.500	55.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	96	FOXC1                     	11	4	1	-43.200	11.700	54.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	97	FOXO4                     	7	4	1	-38.100	9.000	47.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	98	FOXO6                     	7	4	1	-62.500	9.400	71.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	99	FOXP3                     	7	4	1	-38.700	8.200	46.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	100	RXRB                      	14	4	1	-92.300	18.100	110.400	a:0.243 c:0.253 g:0.258 t:0.246 
;	101	RXRG                      	14	4	1	-99.500	17.800	117.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	102	Rarb                      	16	4	1	-94.600	20.900	115.500	a:0.243 c:0.253 g:0.258 t:0.246 
;	103	Rarb                      	17	4	1	-85.600	19.800	105.400	a:0.243 c:0.253 g:0.258 t:0.246 
;	104	Rarg                      	17	4	1	-109.500	20.700	130.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	105	TP63                      	18	4	1	-109.800	21.100	130.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	106	TP53                      	18	4	1	-71.300	19.700	91.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	107	GMEB2                     	8	4	1	-30.400	9.300	39.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	108	MTF1                      	14	4	1	-48.300	17.500	65.800	a:0.243 c:0.253 g:0.258 t:0.246 
;	109	E2F1                      	12	4	1	-48.200	13.200	61.400	a:0.243 c:0.253 g:0.258 t:0.246 
;	110	SOX21                     	15	4	1	-82.700	18.400	101.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	111	Sox1                      	15	4	1	-79.600	18.000	97.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	112	TFAP2A                    	13	4	1	-54.500	13.200	67.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	113	ZNF24                     	13	4	1	-35.600	16.500	52.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	114	ZSCAN4                    	15	4	1	-82.900	18.200	101.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	115	FOSB::JUN                 	11	4	1	-27.900	12.800	40.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	116	FOSL1::JUN                	10	4	1	-22.600	11.400	34.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	117	FOSB::JUNB                	10	4	1	-26.500	11.600	38.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	118	IRF5                      	14	4	1	-41.700	16.000	57.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	119	TCF7L1                    	12	4	1	-48.000	15.000	63.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	120	ATOH7                     	10	4	1	-46.800	10.500	57.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	121	FERD3L                    	14	4	1	-83.000	15.900	98.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	122	FOXN3                     	8	4	1	-26.600	11.000	37.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	123	HES6                      	10	4	1	-47.500	12.300	59.800	a:0.243 c:0.253 g:0.258 t:0.246 
;	124	IRF6                      	9	4	1	-53.900	11.700	65.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	125	NR2F1                     	15	4	1	-59.400	16.600	76.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	126	NR2F6                     	15	4	1	-73.400	17.300	90.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	127	RXRB                      	14	4	1	-46.700	15.200	61.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	128	RXRG                      	14	4	1	-64.000	15.700	79.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	129	SMAD5                     	10	4	1	-43.700	12.000	55.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	130	TFAP4                     	10	4	1	-49.600	10.000	59.600	a:0.243 c:0.253 g:0.258 t:0.246 
;	131	TGIF2LX                   	12	4	1	-33.300	14.200	47.500	a:0.243 c:0.253 g:0.258 t:0.246 
;	132	TGIF2LY                   	12	4	1	-30.500	13.600	44.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	133	ZBTB32                    	10	4	1	-56.800	11.900	68.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	134	ZNF135                    	14	4	1	-47.700	16.100	63.800	a:0.243 c:0.253 g:0.258 t:0.246 
